SAMPLE_NAME,SAMPLE_ID,POPULATION,INSTRUMENT_PLATFORM,ACCESSION, UNMAPPED_INITIAL ,UNMAPPED_BLASTED
HG03716,SRS350896,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350896,10362954,
HG03717,SRS350898,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350898,9572330,
HG03720,SRS352932,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352932,2190566,
HG03722,SRS350900,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350900,12870220,
HG03727,SRS350903,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350903,14938361,
HG03729,SRS350905,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350905,8968549,
HG03730,SRS350902,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350902,7561509,
HG03731,SRS350906,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350906,8684680,
HG03743,SRS350875,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350875,8851156,
HG03770,SRS350908,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350908,9081916,
HG03771,SRS350907,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350907,8448362,
HG03772,SRS350913,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350913,8912091,
HG03773,SRS350912,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350912,10138788,
HG03775,SRS350911,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350911,9656195,
HG03777,SRS352916,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352916,1852922,
HG03781,SRS350910,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350910,9710111,
HG03784,SRS350915,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350915,8708970,
HG03786,SRS350914,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350914,7892867,
HG03787,SRS350916,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350916,8894913,
HG03955,SRS368408,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368408,2644849,
HG03965,SRS368485,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368485,2962290,
HG03967,SRS368489,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368489,2796552,
HG03969,SRS368448,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368448,752339,
HG03971,SRS350925,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350925,3121986,
HG03973,SRS350928,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350928,2348396,
HG03974,SRS350926,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350926,7206298,
HG03976,SRS350927,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350927,3735484,
HG03977,SRS352907,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352907,1351881,
HG03985,SRS368412,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368412,770356,
HG03986,SRS350889,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350889,9239824,
HG03989,SRS368414,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368414,860768,
HG03990,SRS368410,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368410,812916,
HG03991,SRS368411,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368411,930578,
HG03995,SRS368387,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368387,2891678,
HG03998,SRS368415,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368415,757171,
HG03999,SRS352859,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352859,1632502,
HG04001,SRS368446,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368446,537176,
HG04002,SRS350929,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350929,2328675,
HG04003,SRS368416,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368416,1355829,
HG04006,SRS350883,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350883,17582065,
HG04017,SRS350930,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350930,2491960,
HG04018,SRS352912,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352912,3128895,
HG04023,SRS368450,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368450,874027,
HG04029,SRS352901,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352901,3302022,
HG04033,SRS352894,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352894,2851692,
HG04035,SRS352900,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352900,4044175,
HG04038,SRS368417,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368417,731597,
HG04039,SRS368418,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368418,824387,
HG04042,SRS352903,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352903,3205440,
HG04047,SRS368419,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368419,944093,
HG04056,SRS368456,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368456,922203,
HG03740,SRS350872,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350872,#N/A,
HG02814,SRS343999,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS343999,2480429,
HG02839,SRS344001,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS344001,2081162,
HG02870,SRS368103,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368103,1191456,
HG02888,SRS344008,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS344008,2626747,
HG02946,SRS350752,ESN,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350752,#N/A,
HG02970,SRS350755,ESN,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350755,#N/A,
HG02981,SRS368170,ESN,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368170,#N/A,
HG03016,SRS350815,PJL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350815,#N/A,
HG03027,SRS344013,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS344013,23652730,
HG00105,SRS006846,GBR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS006846,#N/A,
HG00112,SRS006853,GBR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS006853,#N/A,
HG00122,SRS008506,GBR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS008506,#N/A,
HG00132,SRS006865,GBR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS006865,#N/A,
HG00148,SRS006881,GBR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS006881,#N/A,
HG00177,SRS006896,FIN,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS006896,#N/A,
HG00235,SRS006911,GBR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS006911,#N/A,
HG00253,SRS008524,GBR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS008524,#N/A,
HG00269,SRS008539,FIN,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS008539,#N/A,
HG00346,SRS008567,FIN,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS008567,#N/A,
HG00356,SRS008573,FIN,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS008573,#N/A,
HG00365,SRS008581,FIN,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS008581,#N/A,
HG00382,SRS008596,FIN,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS008596,#N/A,
HG00445,SRS006918,CHS,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS006918,#N/A,
HG00457,SRS008616,CHS,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS008616,#N/A,
HG00566,SRS008659,CHS,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS008659,#N/A,
HG00717,SRS008743,CHS,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS008743,#N/A,
HG00881,SRS179219,CDX,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS179219,#N/A,
HG01046,SRS179227,CDX,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS179227,499859158,
HG01085,SRS010763,PUR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS010763,374755091,
HG01104,SRS010773,PUR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS010773,370677346,
HG01125,SRS010785,CLM,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS010785,#N/A,
HG01136,SRS010790,CLM,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS010790,#N/A,
HG01148,SRS010796,CLM,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS010796,#N/A,
HG01200,SRS350980,PUR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350980,#N/A,
HG01269,SRS350995,CLM,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350995,#N/A,
HG01280,SRS350996,CLM,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350996,#N/A,
HG01305,SRS350982,PUR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350982,#N/A,
HG02816,SRS344031,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS344031,1899286,
HG02840,SRS344002,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS344002,#N/A,
